[18:21:01] [main/INFO]: ModLauncher running: args [--username, AberrantNautilus, --version, forge-47.2.20, --gameDir, C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp, --assetsDir, C:\Users\ArcieL\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 4b4172d178c644eba8bf7f8d11bd2ac8, --accessToken, ????????, --clientId, NTAzMjI4MGUtYWEyYy00OTE3LTkwOTMtYzM3ZWRiNDUwNjc4, --xuid, 2535433395142716, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\ArcieL\curseforge\minecraft\Install\quickPlay\java\1716340859140.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.2.20, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[18:21:01] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 11 arch amd64 version 10.0
[18:21:02] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[18:21:02] [main/INFO]: Trying GL version 4.6
[18:21:03] [main/INFO]: Requested GL version 4.6 got version 4.6
[18:21:03] [main/ERROR]: Could not find DefaultSettings, not going to do anything! Shutting down...
[18:21:03] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/ArcieL/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[18:21:03] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce RTX 3070 Ti Laptop GPU/PCIe/SSE2 GL version 4.6.0 NVIDIA 552.22, NVIDIA Corporation
[18:21:04] [main/INFO]: Found mod file aiotbotania-1.20.1-4.0.5.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file alexscaves-1.1.4.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file allthecompressed-1.20.1-3.0.2.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file allthemodium-1.20.1-47.1.25-2.5.0.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file alltheores-1.20.1-47.1.3-2.2.4.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file allthetweaks-1.20.1-47.2.20-2.3.0.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file allthewizardgear-1.20.1-1.1.3.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file almostunified-forge-1.20.1-0.9.3.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file ancient_aether-0.9.6.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file Apotheosis-1.20.1-7.3.5.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file ApothicAttributes-1.20.1-1.3.5.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file appleskin-forge-mc1.20.1-2.5.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file Applied-Botanics-forge-1.5.0.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file Applied-Mekanistics-1.4.2.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file appliedenergistics2-forge-15.2.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file AppliedFlux-1.20-1.1.7-forge.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file Aquaculture-1.20.1-2.5.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file ars_elemental-1.20.1-0.6.5.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file ars_nouveau-1.20.1-4.10.0-all.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file ars_ocultas-1.20.1-1.2.2-all.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file arseng-1.1.5.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file artifacts-forge-9.5.4.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file athena-forge-1.20.1-3.1.2.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file AttributeFix-Forge-1.20.1-21.0.4.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file balm-forge-1.20.1-7.2.2.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file bdlib-1.27.0.8-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file BetterAdvancements-1.20.1-0.3.2.162.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file BetterF3-7.0.2-Forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file BiomesOPlenty-1.20.1-18.0.0.598.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file blockui-1.20.1-1.0.156-RELEASE.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file bloodmagic-1.20.1-3.3.3-45.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file blue_skies-1.20.1-1.3.31.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file Bookshelf-Forge-1.20.1-20.1.10.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file Botania-1.20.1-444-FORGE.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file BotanyPots-Forge-1.20.1-13.0.29.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file BotanyTrees-Forge-1.20.1-9.0.11.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file botarium-forge-1.20.1-2.3.3.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file cabletiers-1.20.1-1.2.2.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file caelus-forge-3.2.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file cc-tweaked-1.20.1-forge-1.110.3.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file charmofundying-forge-6.5.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file citadel-2.5.4-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file cleanswing-1.20-1.5.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file cloth-config-11.1.118-forge.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file Clumps-forge-1.20.1-12.0.0.4.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file cofh_core-1.20.1-11.0.0.51.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file colorfulhearts-forge-1.20.1-4.0.4.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file CommonCapabilities-1.20.1-2.9.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file connectivity-1.20.1-5.5.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file constructionwand-1.20.1-2.11.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file Controlling-forge-1.20.1-12.0.2.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file CorgiLib-forge-1.20.1-4.0.1.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file corn_delight-1.0.4-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file create-1.20.1-0.5.1.f.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file create-new-age-forge-1.20.1-1.1.2.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file creeperoverhaul-3.0.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file cristellib-1.1.5-forge.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file Croptopia-1.20.1-FORGE-3.0.4.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file ctov-forge-3.4.3.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file Cucumber-1.20.1-7.0.8.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file cupboard-1.20.1-2.6.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file curios-forge-5.9.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file CyclopsCore-1.20.1-1.19.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file DarkModeEverywhere-1.20.1-1.2.2.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file DarkPaintings-Forge-1.20.1-17.0.4.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file deep_aether-1.20.1-1.0.3.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file deeperdarker-forge-1.20.1-1.2.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file Delightful-1.20.1-3.5.5.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file domum_ornamentum-1.20.1-1.0.186-RELEASE-universal.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file Dungeon Crawl-1.20.1-2.3.14.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file DungeonsArise-1.20.x-2.1.58-release.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file dyenamics-1.20.1-3.2.0.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file dynamiclightsreforged-1.20.1_v1.6.0.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file easy-villagers-forge-1.20.1-1.1.4.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file eccentrictome-1.20.1-1.10.2.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file EdivadLib-1.20.1-2.0.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file elytraslot-forge-6.3.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file embeddium-0.3.19+mc1.20.1-all.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file EnderIO-1.20.1-6.0.25-alpha.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file endermanoverhaul-forge-1.20.1-1.0.4.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file endersdelight-1.20.1-1.0.3.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file ends_delight-1.20.1-1.0.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file enemyexpansion-2.3.1-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file energymeter-forge-1.20.1-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file ensorcellation-1.20.1-5.0.0.21.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file entityculling-forge-1.6.2-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file EpheroLib-1.20.1-FORGE-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file EvilCraft-1.20.1-1.2.39.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file Exchangers-1.20.1-3.5.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file ExtendedAE-1.20-1.1.6-forge.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file ExtraDisks-1.20.1-3.0.2.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file ExtraStorage-1.20.1-4.0.7.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file ExtremeReactors2-1.20.1-2.0.78.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file FarmersDelight-1.20.1-1.2.4.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file FastFurnace-1.20.1-8.0.2.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file FastLeafDecay-31.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file FastSuite-1.20.1-5.0.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file FastWorkbench-1.20.1-8.0.4.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file ferritecore-6.0.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file flib-1.20.1-0.0.13.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file flickerfix-1.20.1-4.0.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file FluxNetworks-1.20.1-7.2.1.15.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file forbidden_arcanus-1.20.1-2.2.6.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file ftb-library-forge-2001.2.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file ftb-quests-forge-2001.4.3.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file ftb-teams-forge-2001.3.0.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file ftb-xmod-compat-forge-2.1.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file fusion-1.1.1-forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file geckolib-forge-1.20.1-4.4.4.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file generatorgalore-1.20.1-1.2.4.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file GeophilicReforged-v1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file getittogetherdrops-forge-1.20-1.3.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file Glodium-1.20-1.5-forge.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file GravitationalModulatingAdditionalUnit-1.20.1-3.2.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file gtceu-1.20.1-1.2.2.a.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file GunpowderLib-1.20.2-2.2.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file harvestwithease-1.20.1-8.0.1.0-forge.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file HostileNeuralNetworks-1.20.1-5.3.0.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file ImmersiveEngineering-1.20.1-10.0.0-169.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file industrial-foregoing-1.20.1-3.5.17.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file industrial-foregoing-souls-1.20.1-1.0.7.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
